year,date,title,pdf_url,product_type,source,manufacturer
2018,12 July 2018,Recall of Valsartan containing products by Denk Pharma as a precautionary measure following the detection of an impurity in the Active Pharmaceutical Ingredient in certain Valsartan Products in the European Union,,Medicines,PPB,Denk Pharma
2018,11 July 2018,"Recall of Gentamed Injection (Gentamycin Injection) Batches; 170611, 170603. The product caused severe headaches to patients after administration",,Medicines,PPB,"CSPC Ouyi Pharmaceutical Co. Ltd, China"
2018,11 July 2018,Recall of caregenta-80 (Gentamycin injection) Batch No. 171160. The product caused severe headaches to patients after administration,,Medicines,PPB,"Shandong Shenglu pharmaceuticals, China"
2018,11 July 2018,Recall of Dawagenta Injection (Gentamycin Injection) Batch No. 170754. The product caused severe headaches to patients after administration,,Medicine,PPB,"Shandong Xier Kantai, China"
2018,11 July 2018,"Recall of Folfes (Ferrous sulphate / folic acid 200mg + 0.4 mg); Batch No. 117098, Due to quality defect",,Medicine,PPB,Biodeal Laboratories Ltd
2018,11 July 2018,"Recall of Hexon 5% (Chlorhexidine gluconate 5%), Batches; 417041, 417042, 417016, Due to quality defect",,Disinfectant,PPB,Biodeal Laboratories Ltd
2018,11 July 2018,Recall of Ventil (Salbutamol) Batch No. 815109,,Medicine,PPB,Biodeal Laboratories Ltd
2018,09 May 2018,"Rapid alert notification on falsified Postinor-2 (levornogestrel), Batch No. T53118E",,Medicine,PPB,Not known
2018,08 May 2018,"Rapid alert notification on falsified primaquine sulphate, Batch No. PQPHOO42",,Medicine,WHO,Not known
2019,03 October 2019,"Recall of sure lubricated condoms dotted. Batches17DN052, 17DN754",,Medical device,PPB,Innolatex (Thailand) Limited
2019,03 October 2019,"Recall of sure lubricated condoms; BatchesL48058, P48045, P48001, L48037, P48027, L48110",,Medical device,PPB,"HLL Lifecare Limited, India"
2019,03 October 2019,Recall of sure lubricated condoms; Batch No.1601957422,,Medical device,PPB,Suretex Prophylactics (India) Limited
2019,02 October 2019,"Information on genotoxic contaminant, N-nitroso-dimethylamine (N-NDMA) impurity in ranitidine products",,Medicines,PPB,
2019,14 March 2019,"Recall of valsartan containing products manufactured from contaminated active pharmaceutical ingredient.PPB issued a recall alert of the following batches (see link https://pharmacyboardkenya.org/e-shots )of Valsartan containing products that were manufactured using the Active Pharmaceutical Ingredients sourced at Zhejiang Huahai Pharmaceuticals, based in Linhai, China.",,Medicines,PPB,
2020,12 June 2020,Medical product alert on several confirmed falsified chloroquine products circulating in the WHO regions of Africa and Europe,,Medicines,WHO,LINK
2020,24 March 2020,Falsified HIV rapid diagnostic test kit (RDT): Uni-Gold HIVLot number: HIV1720026Expiry date: 6 DEC 2020,,Medical device,WHO,Legal manufacturer: Trinity Biotech Plc
2021,23 December 2021,"Medical product alert on several batches of falsified Soliris (eculizumab) identified in Argentina, Estonia, India and Uruguay",,Medicines,WHO,Stated manufacturer: ALEXION
2021,31 August 2021,"Medical on COVISHIELD corona virus vaccine detected in the WHO region of Africa and South-East Asia. The products were reported at patient level in Uganda and Myanmar.Batch 4121Z040, expiry date: 10.08.2021COVISHIELD 2ml (genuine manufacturer does not produce COVISHIELD in 2ml (4 doses)Batch No. 4126Z079",,Medicines,WHO,Stated manufacturer: Serum Institute of India Pvt Ltd
2022,27-Dec-2022,Medical product alert on substandard (contaminated) METHOTREXä 50mg(Methotrexate)Batch No:MTI2101BAQidentified inYemen and Lebanon.The products were contaminated withPseudomonas aeruginosaon microbiological testing,,Medicine,The World Health Organization (WHO),"Stated as CELON LABORATORIES, PVT LTD – Telangana State, India"
