year,date,recall_ref,product_name,inn_name,batch_no,manufacturer,reason
2025,24/04/2025,REC/2025/017,S-prazo Capsules,Esomeprazole 40mg Capsules,SPZ404,"Medico Remedies Limited, India","Product mix-up involving S-Prazo Batch No. SPZ404, wherein it was detected and confirmed that a strip of Levofloxacin 500mg tablet was found in a pack of Esomeprazole 40mg Capsules."
2025,24/04/2025,REC/2025/016,Lumidol Injection,Paracetamol 1000mg/100ml,"CM4594007, CM4594008, CM4594009",KamlaAmrut Pharmaceutical LLP India,Color change of the product to black
2025,24/04/2025,REC/2025/015,Paragen Injection,Paracetamol 1% W/V,K4290027,KamlaAmrut Pharmaceutical LLP India,Color change of the product to black
2025,24/04/2025,REC/2025/014,Blink Injection,Paracetamol 1% W/V,"CS4594005, CS4594004",KamlaAmrut Pharmaceutical LLP India,Color change of the product to black
2025,03/04/2025,REC/2025/013,Dawaflox DPS,Flucloxacillin 125mg/5ml,"2301119, 2401188","Dawa Ltd, Kenya",Failure to comply with assay identified during long-term stability studies
2025,03/04/2025,REC/2025/012,Stopacid Suspension,Aluminium Hydroxide BP 120mg & Magnesium Trisilicate BP 250mg,"2407199, 2407200, 2407201, 2407202","Dawa Ltd, Kenya",Failure to comply with the release assay limits of Aluminium Hydroxide (95%-105%)
2025,03/04/2025,REC/2025/011,Medopress Tablets,Methyldopa 250mg,"221137, 230051, 230093, 230165","Cosmos Ltd, Kenya",Color change of the tablets
2025,21/03/2025,REC/2025/010,Oxytocin Injection,Oxytocin BP 10IU/ML,MOEIE-003,Laborate Pharmaceuticals India Ltd,Failure to comply with the specifications on related substances test
2025,19/03/2025,REC/2025/009,Topfoliferum Tablets,Ferrous Sulphate+ Folic Acid,240726,"Liaoning Huarui Union Pharmaceutical co. Ltd, China","Color change, with some tablets becoming darker with black particles"
2025,11/03/2025,REC/2025/008,Betamol Tablets,Paracetamol 500mg,01215PT,"Sphinx Pharmaceuticals Ltd, Kenya",Out-of-Specification results on uniformity of weight
2025,11/03/2025,REC/2025/007,Medzol Tablets,Metronidazole 400mg,230940,"Shanxi Xinyitong Pharmaceutical Co., Ltd, China",Out-of-Specification results on uniformity of weight
2025,11/03/2025,REC/2025/006,Metrosim Tablets,Metronidazole 200mg,003835,Africure Pharmaceuticals India Private Limited,Failure to comply with the specifications on friability test
2025,10/03/2025,REC/2025/005,Shaltoux Herbal Cough Syrup,"Diphenhydramine Hydrochloride, Ammonium Chloride, Sodium Citrate & Menthol",24011,"Gopaldas Visram & Company Limited, India",Market complaints of presence particulate matter in the product
2025,07/02/2025,REC/2025/004,APC Tablets,"Paracetamol 250mg, Aspirin 150mg & Caffeine 30mg",1223038,"Biodeal Laboratories Ltd, Kenya",Out-of-Specification results on uniformity of weight
2025,16/01/2025,REC/2025/003,TBcide,Sodium Hypochlorite Solution,24052101A2 and 24052201A2,Kenya Medical Research Institute (KEMRI),Lack of the characteristic color and smell and formation of brown crystals on the product packaging.
2025,06/01/2025,REC/2025/002,Flurasted 500 Injection,5-Fluorouracil,HHP2401,"Halsted Pharma Private Limited, India",Detection of particles in the product.
2025,03/01/2025,REC/2025/001,Bisotrol Tablets,Bisoprolol 5mg,JJI023002,"Ipca Laboratories Limited, India",Out of specification (OOS) results observed in the Related Substances test of Bisotrol – 5 Tablet at 12M on 30C/75% stability conditions.
